Timestamp	Source IP	Source Port	Destination IP	Destination Port	Sequence Number	Acknowledgement Number	Length	Flags	Window	Checksum	Data
1731498301993	localhost	9999	localhost	8888	101	1	25	ACK 	1440	0xfb1	68 68 68 68 68 
1731498301994	localhost	8888	localhost	9999	1	106	20	ACK 	1440	0xe0e9	
1731498301994	localhost	9999	localhost	8888	106	1	25	ACK 	1440	0xab1	68 68 68 68 68 
1731498301994	localhost	8888	localhost	9999	1	111	20	ACK 	1440	0xdbe9	
1731498301995	localhost	9999	localhost	8888	111	1	25	ACK 	1440	0x5b1	68 68 68 68 68 
1731498301995	localhost	8888	localhost	9999	1	116	20	ACK 	1440	0xd6e9	
1731498301996	localhost	9999	localhost	8888	116	1	25	ACK 	1440	0xb1	68 68 68 68 68 
1731498301996	localhost	8888	localhost	9999	1	121	20	ACK 	1440	0xd1e9	
1731498301996	localhost	9999	localhost	8888	121	1	25	ACK 	1440	0xfbb0	68 68 68 68 68 
1731498301997	localhost	8888	localhost	9999	1	126	20	ACK 	1440	0xcce9	
1731498301997	localhost	9999	localhost	8888	126	1	25	ACK 	1440	0xf6b0	68 68 68 68 68 
1731498301997	localhost	8888	localhost	9999	1	131	20	ACK 	1440	0xc7e9	
1731498301998	localhost	9999	localhost	8888	131	1	25	ACK 	1440	0xf1b0	68 68 68 68 68 
1731498301998	localhost	8888	localhost	9999	1	136	20	ACK 	1440	0xc2e9	
1731498301998	localhost	9999	localhost	8888	136	1	25	ACK 	1440	0xecb0	68 68 68 68 68 
1731498301999	localhost	8888	localhost	9999	1	141	20	ACK 	1440	0xbde9	
1731498302000	localhost	9999	localhost	8888	146	1	25	ACK 	1440	0xe30e	68 68 68 68 0a 
1731498302000	localhost	8888	localhost	9999	1	151	20	ACK 	1440	0xb3e9	
1731498302000	localhost	9999	localhost	8888	141	1	25	ACK 	1440	0xe7b0	68 68 68 68 68 
1731498302001	localhost	8888	localhost	9999	1	146	20	ACK 	1440	0xb8e9	
1731498302003	localhost	9999	localhost	8888	116	1	25	ACK 	1440	0xb1	68 68 68 68 68 
1731498302004	localhost	8888	localhost	9999	1	121	20	ACK 	1440	0xd1e9	
